[
[753, 124]
[351, 309]
[578, 524]
[209, 852]
[369, 956]
[586, 956]
[489, 203]
[867, 753]
[652, 476]
[896, 215]
[631, 33]
[48, 469]
[530, 817]
[566, 189]
[874, 371]
[234, 310]
[994, 304]
[222, 506]
[906, 888]
[599, 813]
[108, 167]
[219, 154]
[187, 21]
[969, 622]
[161, 883]
[800, 11]
[842, 510]
[364, 859]
[557, 780]
[647, 398]
[646, 979]
[454, 875]
[102, 157]
[843, 52]
[831, 582]
[657, 902]
[338, 211]
[203, 531]
[905, 529]
[848, 606]
[945, 217]
[651, 101]
[185, 14]
[558, 343]
[796, 285]
[252, 14]
[812, 517]
[459, 195]
[136, 36]
[454, 477]
[382, 182]
[96, 635]
[604, 862]
[813, 408]
[564, 402]
[395, 742]
[304, 712]
[801, 195]
[464, 786]
[384, 759]
[76, 324]
[322, 678]
[726, 308]
[431, 364]
[711, 139]
[332, 414]
[615, 85]
[106, 15]
[564, 770]
[557, 394]
[112, 585]
[566, 650]
[88, 62]
[587, 740]
[665, 485]
[756, 901]
[678, 398]
[453, 523]
[531, 442]
[707, 507]
[81, 412]
[440, 852]
[341, 708]
[856, 280]
[559, 846]
[852, 169]
[400, 974]
[475, 319]
[917, 400]
[324, 164]
[123, 356]
[630, 284]
[354, 776]
[709, 79]
[756, 333]
[93, 952]
[76, 841]
[419, 28]
[100, 363]
[592, 943]
]
