x,y
1096,230
1432,934
1350,583
1222,1552
959,1530
949,1176
1306,1074
641,1932
151,324
536,1755
172,432
428,1035
1260,1646
687,284
64,1593
1286,1698
430,171
825,1350
66,34
300,1454
1519,993
1257,1145
254,861
1387,359
789,16
916,1725
1501,853
1937,1085
1253,854
851,435
1167,24
848,1715
1199,1042
600,292
69,1543
752,1173
1844,746
1622,1443
11,1447
1059,1244
1994,407
1187,1260
1792,332
526,690
930,88
1587,1457
1362,1501
1810,1592
1232,1361
1386,1987
530,1397
174,1429
1159,620
987,164
481,1706
1227,69
986,1345
583,957
389,170
1817,889
1362,1142
954,272
356,762
1470,510
178,800
685,46
1564,1458
496,1421
540,721
1225,206
1524,1544
122,424
231,737
9,543
1195,457
1739,203
672,1701
895,1630
126,768
246,957
1614,992
1486,1605
1173,862
1257,285
1564,1727
118,733
836,335
1907,1964
1037,213
1258,1506
608,665
1221,996
1148,547
1042,904
1392,1631
1912,1874
1523,1972
1530,11
1125,228
1911,1
129,1231
905,1840
1766,947
888,892
1033,1230
658,434
862,1013
661,418
1275,462
832,1400
1597,70
1039,1959
1673,503
158,673
1333,357
1450,207
1784,160
1278,1869
1206,1961
244,783
1244,1201
859,1097
1502,821
221,1394
1503,222
664,33
1562,1305
501,1728
946,1472
1862,649
1039,1655
1532,484
1589,527
1019,1801
831,98
1505,1608
524,120
259,278
1782,260
475,1026
1312,1948
675,1614
48,1097
251,1988
162,1152
8,1295
453,1719
1468,1512
242,570
1644,139
541,1091
1588,402
1662,1308
813,1891
1327,75
782,1326
578,407
1820,257
1631,249
192,1415
1086,578
1767,1341
104,758
153,1766
1708,862
1881,1523
125,670
675,1076
1852,997
1098,1039
57,125
395,1571
1504,1540
1487,560
813,1186
1693,1891
176,66
305,249
455,397
632,1207
405,715
1110,1433
678,1967
946,349
148,1426
723,683
1662,8
876,1020
1205,21
1198,1331
1994,1308
1822,1824
1934,191
1294,108
402,1543
798,1356
92,519
494,63
389,947
1574,1974
1362,1257
1118,803
128,262
1150,1194
385,1098
896,187
534,1582
408,1646
1038,407
476,1992
209,1795
1304,1567
113,417
447,1617
1184,195
493,1759
1240,1970
1634,290
426,496
1855,1783
1837,624
499,641
426,8
847,71
94,1638
1823,665
934,1158
1780,1849
1089,98
1864,987
1492,544
811,243
539,1724
922,845
1818,1154
1340,374
1526,1652
1380,713
536,765
694,31
1655,1924
599,450
25,1716
251,1535
1423,839
38,615
144,1285
1550,1335
355,1613
664,1882
343,1300
1028,1845
1530,1267
1163,681
759,1891
1468,1478
1371,349
1405,702
1019,803
32,1169
1586,79
1022,1709
324,805
897,394
369,446
653,1052
1538,1707
1409,117
1101,484
805,1070
107,118
1678,950
821,708
1111,779
1086,1887
1335,1540
73,854
259,386
2,1816
1233,307
1480,1593
1658,928
1900,1095
229,474
1251,724
28,1862
731,513
232,1675
1351,654
1844,1738
1683,510
686,839
512,500
1559,1087
847,772
1780,1036
1579,884
1296,368
1515,1490
1068,1916
447,1916
256,35
1124,1580
345,1971
861,1936
1033,317
1664,1401
1729,1365
79,890
121,380
1167,1166
1842,1050
1196,1267
569,1852
907,1767
482,1309
1923,942
1098,943
84,789
614,572
251,350
978,1048
197,1186
1363,531
696,1038
1963,712
935,1124
1898,657
683,1259
233,1258
1628,537
983,1814
180,848
1650,141
1529,1400
1656,1565
770,154
1186,1782
1158,1819
469,1627
1727,1292
1800,294
1489,1330
1673,1449
683,1933
166,1726
1931,1820
1954,183
604,1629
1494,243
359,356
964,1640
1172,222
1290,758
1297,1946
406,1900
1770,1011
194,1147
918,409
1099,1530
1886,1868
1464,1559
1805,842
600,788
739,342
528,160
568,1345
1776,1481
1900,1021
1530,667
1577,876
1374,754
749,839
1502,1078
475,352
1500,1884
1883,1629
544,583
406,473
271,856
558,923
128,1826
1000,1585
829,863
1378,1039
1953,1205
1672,1601
835,1401
1255,1433
1775,1453
1336,185
497,989
1631,1932
286,33
231,1620
172,686
336,1623
623,1526
12,1538
193,939
1736,437
643,1070
1751,1413
603,1462
1525,253
400,1515
260,1801
1986,1831
176,258
1838,1599
859,1994
191,1258
1175,1532
1880,1011
247,391
782,1727
320,20
1037,1989
1124,1415
204,1417
1153,1267
430,330
296,1612
743,368
377,1713
1480,125
967,245
1275,1738
1291,1923
1636,1677
797,31
432,816
1991,929
445,1421
284,1908
196,1808
1870,1788
1621,73
506,909
1469,1539
266,484
700,1976
864,1661
1193,987
1891,649
740,1343
1505,251
887,1729
880,655
1562,897
1960,1629
79,1224
597,189
122,1370
1761,1353
1776,1971
1750,1589
1937,22
1188,96
493,35
320,1084
1049,208
8,81
1436,1382
788,1638
1125,96
859,1048
749,187
988,664
1818,966
1167,1070
1921,1852
698,1032
1001,38
825,1708
385,180
1667,779
759,12
1706,486
730,830
586,214
1275,28
162,579
488,1433
1475,1740
28,813
1298,79
1555,591
1867,928
569,1508
578,1516
1493,1993
161,1869
786,538
1520,837
517,1184
719,224
845,1489
581,1718
873,1294
263,821
488,1939
160,1010
885,1304
1772,1268
1105,901
1284,62
1157,1130
150,721
1482,470
1061,286
244,517
1960,581
617,1291
1310,262
755,287
64,868
1703,1864
1853,1775
915,84
1917,624
1428,536
248,53
1621,144
1554,1471
752,1459
226,1818
1249,1759
216,1231
872,242
1629,1743
121,1494
196,1068
343,382
291,668
1691,997
1334,1377
195,822
1741,1381
463,1475
368,367
1207,269
116,563
1602,1766
1698,31
1353,1226
896,269
338,1131
1709,177
1130,1329
946,1413
608,1268
551,1690
1441,1637
613,1821
788,480
1066,1165
342,81
1764,1460
1814,1490
1898,1841
1079,1574
1092,326
1616,926
496,343
681,1505
1003,1010
1934,1900
1961,720
1798,504
553,336
540,597
1484,1352
1663,283
1713,1360
1851,854
1738,313
422,533
1167,660
862,28
166,1668
97,822
1831,1333
1082,1768
1567,591
1459,155
108,296
1823,1667
1270,1465
138,1559
893,50
1291,960
620,883
1641,1910
1380,395
1815,516
1429,153
825,1532
1134,518
1867,359
1713,938
154,1792
791,578
444,1395
1038,655
1437,721
634,108
928,1682
1672,1791
239,1300
1354,1719
1693,1095
377,1255
1814,1151
1188,290
1125,1750
1240,879
52,821
422,1853
352,504
1720,445
709,1884
29,822
709,1499
1938,855
1089,1441
1167,607
184,97
388,104
1206,1785
291,1176
1736,426
810,1688
823,464
858,146
1201,1171
10,851
1646,772
1400,925
866,931
877,1757
1468,160
1841,382
1309,1376
1115,1205
43,1401
1348,757
904,1330
1612,1358
1173,620
1920,1796
1120,1961
944,777
1622,556
746,956
239,1961
1617,406
1726,598
1709,588
1994,1461
1209,1245
114,1010
515,982
1827,1365
1766,1771
1959,658
284,1264
1239,1442
1912,578
1051,341
1229,1474
257,705
1959,1712
1981,1115
310,19
967,1878
1802,159
1014,230
1188,1400
1517,533
486,164
1296,1729
1553,1851
1676,1355
139,297
111,45
1879,233
1198,267
274,432
1325,1356
1987,1486
178,1766
242,1875
821,520
1568,874
14,772
953,1278
1505,80
1591,1996
1677,854
558,1273
1594,363
1907,377
825,1612
411,496
1341,1237
734,487
1360,98
1148,73
1008,41
1853,1041
1407,1460
466,317
1206,816
329,1730
547,445
1734,1690
1576,1104
683,207
1578,112
1928,937
935,1275
797,179
440,1256
1739,1887
671,581
1260,1233
1426,593
849,622
1550,695
1073,1824
470,477
1016,498
1208,311
1451,1546
631,688
123,1436
957,435
812,1976
1660,1457
107,739
745,80
1756,1292
694,1727
1995,27
1521,91
1760,645
670,844
486,807
1001,1365
26,942
1272,961
1213,1966
1134,1512
1941,591
260,732
8,1620
1721,687
1617,404
1944,1878
1329,606
583,1198
380,153
746,1889
115,826
665,983
209,1788
757,1624
714,1551
626,717
1337,375
569,499
1887,873
1799,1432
1954,1402
1059,716
1840,1441
1378,1238
298,1034
1316,1675
87,1211
697,1598
1706,1802
1819,854
1239,1664
1613,1070
1248,1725
1693,179
304,1181
776,1888
1322,1571
1479,161
1922,1245
991,126
195,781
1510,1113
553,937
1515,1320
810,438
69,1730
328,1512
1902,842
346,636
1826,105
456,755
1844,1605
220,1832
1495,288
314,1075
1836,1484
279,499
1423,1490
1177,1097
811,1382
1578,1400
428,1180
1363,643
618,457
968,1161
220,1918
988,1864
539,1474
1972,1243
822,172
325,489
380,627
1596,1420
1428,1877
861,270
1236,1946
1621,482
1313,1728
1178,552
107,1900
699,1415
185,3
113,1048
945,479
1055,537
620,1077
329,389
327,1484
93,1223
872,1279
1683,1519
24,6
1839,439
1599,1499
1003,735
1729,1870
986,173
238,249
501,1861
1106,93
973,1191
705,1067
1616,1996
172,169
859,977
1595,1662
1304,651
1489,214
1352,389
1900,1703
629,1238
168,1326
1129,1258
1438,370
1395,904
1378,1478
970,559
1326,637
1569,408
1587,938
1689,1883
1022,1029
1361,278
1002,1105
1504,1181
1817,560
1529,100
425,1237
1975,1627
1397,1593
1524,80
1254,1076
813,317
62,749
1538,237
20,1543
341,1379
687,1014
963,453
1875,1412
1924,1511
550,271
1061,1216
745,1301
1193,1386
1479,1757
1989,1781
668,768
671,739
285,184
481,4
1492,1261
1088,133
1868,1007
780,1700
431,715
482,884
652,316
170,150
1359,1661
1796,1573
1999,1072
1499,1628
950,658
1261,1675
1062,93
717,224
1627,366
1646,1097
1541,1418
465,582
123,176
865,714
1410,1208
1848,143
116,1154
271,1841
1203,1262
1989,186
807,1505
596,572
830,253
22,1491
1412,350
1266,104
851,1190
1147,824
1764,1007
1686,1610
1692,1104
962,1035
1544,1325
957,538
731,1729
804,419
690,1089
1244,284
1580,1712
204,671
1673,934
1959,1932
570,477
489,1948
1989,715
1004,1551
899,1759
1592,1063
1623,1501
787,797
1425,1196
1225,694
384,253
1386,1510
390,1557
657,1598
1543,933
351,1653
1675,1447
1923,1548
94,1634
837,1361
1235,265
540,1115
1619,1185
55,1307
969,1787
172,447
569,441
601,855
473,596
661,597
492,993
733,918
695,514
919,220
1560,1593
1703,1085
936,775
1544,1710
976,716
873,1179
811,1253
1476,926
858,619
990,895
594,1461
463,339
1418,324
1071,1461
1546,835
832,198
16,665
215,1373
1369,19
329,232
52,464
29,683
1491,492
70,626
789,1998
945,1282
155,925
1999,1732
1072,1970
495,77
1628,1739
1901,605
1999,1151
1849,747
1107,342
608,545
1464,1293
1058,1781
1424,1036
355,950
949,707
1935,180
413,1771
1175,877
755,715
747,545
1106,801
45,657
1056,113
407,1264
1676,670
783,864
1042,819
1770,9
1514,480
937,1442
17,1347
348,185
1549,966
369,1868
296,1808
1204,168
1170,293
338,419
35,269
1519,1250
741,188
892,398
1502,1208
409,972
1316,1872
1388,1648
1003,848
459,1889
1040,1214
171,399
976,1868
1942,1519
1641,648
1284,222
1948,1729
1560,1486
856,195
1317,123
1571,1560
191,1859
1640,1889
1906,951
1592,1918
1243,1716
92,1066
529,1605
1034,1364
564,684
516,1502
1925,537
1232,1714
805,1786
716,746
315,1820
1947,652
1963,1088
170,245
1756,297
385,155
719,957
1849,1262
1094,1526
862,1461
1459,1698
1505,922
364,1789
1668,861
1001,1263
232,1994
584,1586
1869,1190
841,437
1870,1618
816,71
679,6
232,1769
1613,577
1570,310
691,153
931,1046
606,917
1527,1673
788,913
543,1925
1292,109
312,582
1257,737
342,858
1824,1757
1320,1577
475,615
1959,1644
1591,1253
1508,1104
425,1815
555,735
1832,466
731,1445
671,1844
366,1079
1401,483
1111,395
1558,1887
927,1185
1849,1822
147,25
1598,251
1320,1309
150,1825
1587,1860
560,882
1800,822
1488,1084
517,1814
97,1235
1820,1147
336,1273
427,1760
1059,1166
660,1916
1953,742
985,910
1755,157
930,1576
952,77
926,1114
1858,1359
1134,13
420,1461
457,1774
1038,1638
1824,1244
1385,681
248,312
1743,1070
1233,1364
725,807
1160,783
517,168
1529,1785
1125,221
193,75
168,1398
1348,1732
1551,420
899,249
1339,932
183,1252
1879,430
630,972
1550,1877
453,429
1354,1932
1807,1506
942,1903
1184,752
146,380
774,807
191,652
1586,1368
489,798
1533,1980
1441,480
834,707
1883,1222
540,486
543,1940
1986,277
1341,397
985,56
14,314
1512,1642
1796,648
236,1023
1468,977
243,587
541,1562
250,1768
665,1366
501,598
1993,313
965,1825
489,1686
181,720
1322,1825
1475,720
1055,1134
1959,857
1512,1318
1051,844
1197,832
1465,374
1582,1610
736,22
240,1827
92,1910
1155,1871
833,710
1807,300
428,1445
1987,1808
463,1171
519,1968
311,1596
351,141
1132,713
367,749
1775,691
271,1678
72,1177
620,679
1423,149
269,1926
1876,1452
557,1281
1974,695
484,599
135,26
1857,901
1749,418
271,917
419,153
173,278
1274,1608
1044,1654
1209,563
841,1287
1271,960
1353,1170
165,1236
1428,1936
1581,754
918,95
1107,735
323,270
860,578
1646,1560
1358,1558
41,1604
170,446
1546,4
864,1279
1001,1892
874,1926
980,1193
508,1108
797,606
1206,1477
225,1307
224,524
89,1670
1527,1877
945,1006
676,1867
1788,1456
1644,1657
1581,673
812,1755
1241,348
542,1158
917,303
285,9
106,404
624,1791
1668,1522
1307,1887
1028,708
697,317
1646,163
596,856
381,467
1819,710
1634,1641
1812,1619
1656,1584
373,1649
213,879
992,926
1461,893
400,1665
1618,819
733,1664
44,1513
983,694
5,1665
1002,1642
873,1961
482,1752
1371,502
1632,1677
1013,1158
1124,853
128,647
1953,67
1359,1325
57,1090
1367,1761
647,1263
325,1173
1005,1471
1923,1766
1287,1801
599,957
1266,1352
1421,1401
831,690
206,574
38,758
466,1347
1335,700
867,658
1094,105
1860,902
1739,389
1104,357
1095,1898
1256,1909
370,1371
1425,1662
350,572
1676,1105
1195,1862
737,1537
1927,262
378,732
1075,386
1900,1549
484,663
1989,1826
1861,423
